[2026-02-20T03:36:35.371+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: yelp_restaurants_to_s3_to_snowflake.fetch_restaurants manual__2026-02-20T03:36:32.924264+00:00 [queued]>
[2026-02-20T03:36:35.373+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: yelp_restaurants_to_s3_to_snowflake.fetch_restaurants manual__2026-02-20T03:36:32.924264+00:00 [queued]>
[2026-02-20T03:36:35.373+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-02-20T03:36:35.377+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): fetch_restaurants> on 2026-02-20 03:36:32.924264+00:00
[2026-02-20T03:36:35.380+0000] {standard_task_runner.py:60} INFO - Started process 93 to run task
[2026-02-20T03:36:35.382+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'yelp_restaurants_to_s3_to_snowflake', 'fetch_restaurants', 'manual__2026-02-20T03:36:32.924264+00:00', '--job-id', '209', '--raw', '--subdir', 'DAGS_FOLDER/yelp_restaurants_to_s3_to_snowflake.py', '--cfg-path', '/tmp/tmpkmvjbvp4']
[2026-02-20T03:36:35.383+0000] {standard_task_runner.py:88} INFO - Job 209: Subtask fetch_restaurants
[2026-02-20T03:36:35.405+0000] {task_command.py:423} INFO - Running <TaskInstance: yelp_restaurants_to_s3_to_snowflake.fetch_restaurants manual__2026-02-20T03:36:32.924264+00:00 [running]> on host 8742f0c6434e
[2026-02-20T03:36:35.431+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='yelp_restaurants_to_s3_to_snowflake' AIRFLOW_CTX_TASK_ID='fetch_restaurants' AIRFLOW_CTX_EXECUTION_DATE='2026-02-20T03:36:32.924264+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-02-20T03:36:32.924264+00:00'
[2026-02-20T03:36:35.438+0000] {logging_mixin.py:188} INFO - Fetching restaurants from Yelp API across 10 locations and 4 categories
[2026-02-20T03:36:35.438+0000] {logging_mixin.py:188} INFO - 
Searching restaurants in Boston, MA...
[2026-02-20T03:39:52.583+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:39:57.810+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:03.065+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:08.311+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:13.561+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:18.799+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:24.020+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:29.340+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:34.508+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:39.765+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:44.982+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:50.213+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:40:55.484+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:00.661+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:05.836+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:10.983+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:16.116+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:21.246+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:26.461+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:31.685+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:37.258+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:42.420+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:47.597+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:52.750+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:41:57.922+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:03.105+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:08.278+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:13.486+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:18.610+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:23.750+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:28.908+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:34.055+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:39.235+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:44.390+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:49.595+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:42:54.803+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:00.006+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:05.257+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:10.463+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:15.636+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:20.759+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:25.930+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:31.116+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:36.293+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:41.463+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:46.670+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:51.807+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:56.945+0000] {logging_mixin.py:188} INFO -   Rate limited, waiting 5 seconds...
[2026-02-20T03:43:59.409+0000] {local_task_job_runner.py:302} WARNING - State of this instance has been externally set to failed. Terminating instance.
[2026-02-20T03:43:59.414+0000] {process_utils.py:131} INFO - Sending 15 to group 93. PIDs of all processes in the group: [93]
[2026-02-20T03:43:59.414+0000] {process_utils.py:86} INFO - Sending the signal 15 to group 93
[2026-02-20T03:43:59.416+0000] {taskinstance.py:2450} ERROR - Received SIGTERM. Terminating subprocesses.
[2026-02-20T03:43:59.470+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=93, status='terminated', exitcode=0, started='03:36:34') (93) terminated with exit code 0
